(変更しないでください) 取引先企業,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,企業名,住所,社員数,資本金,企業カナ,企業名（英語）,検索文字列（略称可）,営業担当者,休眠顧客,取引先状況
f606e1cb-35aa-e711-811e-c4346bc510bc,JWnTSkWgpxVbrHH3V5tRgvgEey5wF6UZ3Dut3A5w8J2QCOFlESxaJTGGPEtcAimy68Ugq7XrzkTws47D++xY0A==,2020/11/12 21:30,ion Pharmaceuticals株式会社,,,,オン ファーマシューティカルズ,"Aegerion Pharmaceuticals,Inc",APH, Alpha俊徳,いいえ,
c34d1105-33aa-e711-811e-c4346bc53068,Q1hg1+F8t+25dAuiJ3q0s9VKy6Ei2b3P3rcZ6LhB9S2OrmLSPTFdAjZjXpzSqSP+EmlrTb+xbU0idzIb6LLX3Q==,2017/10/6 1:21,Integrated Business Service Co.ltd.,,,,Integrated Business Service Co.ltd.,AEON Integrated Business Service Co.ltd.,AEONIBS,サイン #,いいえ,
f193aac6-df6e-ea11-a811-000d3a519cf6,t1kK3+KDq962C6JioOJuF2qrpbzqSzq5guaJ50iTPHFA4V5ZGLl1eumxTQC0yEznvTQ09P8QHjjxTacL8Fcp+A==,2020/3/25 21:30,ive. NETWORKS,,,,,,,サイン #,いいえ,
dd0ee1cb-35aa-e711-811e-c4346bc510bc,kgGfvlYY0pdoHFbgxsAwG80qk1CgIpnTk9qDOnAB7w6asb1m8QoYNq3NThMN8DgTFLr8VQOfc6cPJyA4cKwSYg==,2020/11/12 21:27,会社,,,,ー,AGC Inc.,, 麗奈,はい,休眠
135d1105-33aa-e711-811e-c4346bc53068,C1MLRpj6ZRPc+kAzDi5uk0okqOU+KSlTiMzjGLezbj2tHrLSYNjnWaYuWXHrmVKN0MSBGZNZrq07DH61qpM2jw==,2020/11/12 21:20,株式会社,,,,トウ,AGF Kanto Inc.,AGFKANTO, 謙市,いいえ,
6dc44dbb-0495-e811-a957-000d3a51dece,BLFgBRouokWFgkVMJb9RDp5ouuEXZBtE/fzdJDzisFRkJwztTCzQIOGMnsmAEr0eLQ8/zUzPG/Arxz5LuzcUJw==,2018/7/31 21:00,POINT,,,,,,,サイン #,いいえ,
d913e1cb-35aa-e711-811e-c4346bc510bc,INpvFskE8YnAdh5zBHqhsyUyCtq0RzvghoIkYrghvYyt6LH/7AHQ/BbAJtdygzailIIZC152rb3D97hFKWJLhw==,2019/8/21 15:05,"Point, Inc.",,,,ント,"AgilePoint, Inc.",,レオン,いいえ,
689541f3-b207-eb11-a812-000d3a51d92b,kv4m9vVG0fWZYsmTTmynxz+KwRSl5WqEQ63N2yOQoJIUENAszIVNoAr4Kem0IvQdcdp6kSw2WEQJcw3oJQvJmA==,2020/10/6 9:07,ty Design株式会社,,,,,,,サイン #,いいえ,
11b3e3bf-c37a-e911-a972-000d3a51d2c9,/tBTgKeiTCpnveWG39DJyUdL4bbvRXORNSO99xykPWP4NH/FppnnIxAEn7OShSzlT8BrsQvzKW1qiPOMdhZI7A==,2019/5/20 5:54,BIT株式会社,,,,ット,AGREEBIT INC.,AGB,サイン #,いいえ,
42abb7cf-7f85-e811-a957-000d3a51deef,m/0yxmcybOIZp5kGLep3S8HYspEfvoC85wpQncMacUxwm4EMVnxNcoelLGRoOAWfYGUs2EEIPcB3f9y4ttc8GQ==,2018/7/12 3:01,ネスコンピューター株式会社,,,,スビジネスコンピューター,,AGSビジネスコンピューター,サイン #,いいえ,
c118e1cb-35aa-e711-811e-c4346bc510bc,qVTudV0bIc8d12IoQyCRj8Ld4LOofLoRGjkKba9uu/LqScCsH084qzWvS/DBdebTR3TgqtLvsDwhlg+UacHKZA==,2020/11/12 21:26,会社,,,,,,AGS,サイン #,はい,休眠
dcf5e3fe-2c76-e911-a977-000d3a519c30,jRY5EpCQavcXIVW/hZdSFg/PDk7WGCNOcTAGvqprYQruVKwiCRYHp5kE5bo6wzbqGb0EeyC90LsuWgvTOX8O0g==,2019/5/14 9:45,CHNOLOGY株式会社,東京都豊島区東池袋3-7-9 AS ONE東池袋ビル6F,370,20000000,クノロジー,,,サイン #,いいえ,
480fecff-e158-ea11-a811-000d3a51d17e,ptBwdXyQGi5/SGjVQQzw8Dmce8OqQbwMrTGbE4FofNoE85fyDliC9iVtQEgDa0N0FeIPPbaW07qzvc+rEk2kAw==,2020/2/26 21:50,株式会社,,,,,,,サイン #,いいえ,
91fec837-969f-ea11-a812-000d3a519cf6,YDwFQ5mdVy7TnygvDTUhbudE6GBE0dQs55VBCxudKHAR0bOi/NaddtOojzoJpT4uH/EpjxpUA30zc6yCaEcO7w==,2020/5/26 21:17,"eneral Insurance Co., Ltd.",,,,,,,サイン #,いいえ,
cb4e1105-33aa-e711-811e-c4346bc53068,FIX9CIfWIeNs0LwgvHmAzWXbWVx4gPeUn0InV+I9xGp9QsILcPqPuqwowvSb4dNqfbL8opdsS9OgR37N73aAqw==,2019/8/21 15:06,lobal Services,,,,lobal Services,AIG Global Services,AIGGS,勇太,いいえ,
e5a2a1f8-96aa-ea11-a812-000d3a519cf6,/qlVdqzFXeRoeNP3ezBPgC496m10LogQLRDbAxvGE7+IY/WsysxrQ/2iFTg9l+6cpblcdcN5Wh+BsZs/mg/2nA==,2020/6/9 21:20,lobal Services (M) Sdn Bhd,,,,,,,サイン #,いいえ,
b8754453-72bd-ea11-a812-000d3a519cf6,WJbWQ0zI+F8f3TU8VIAMAuK8KnyA31r6uaiY1qwlCAtba5REq9eDpPsAZM1P8y9S3brVnduSu8LD8sE4DcA5Aw==,2020/7/3 21:15,echnologies (Malaysia) Sdn Bhd,,,,,,,サイン #,いいえ,
8a69ce25-a9bc-ea11-a812-000d3a51d17e,YNcmh7FX/ryaEgU80FK4TVgkv0owR9lANM5y6zcuAaD0bbGBH8j4w01AbxBAoxpDq9+Ek7WJeUCHeeoZKoGS+A==,2020/7/2 21:15,echnologies KK,,,,,,,サイン #,いいえ,
