(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
4d5bfd1e-403b-e911-a971-000d3a51ce98,H/hAjqesGlCOUXEX8Gqoc6Ysn9jiLbaucbkl/fZN6uIP7n/EmXCzLtl7AGCVl6+uE07vKCfRUcOZWqNS0i9lLg==,2020/10/27 6:43,S0046,Microsoft Office 365 生産性トレーニング,非サブスクリプション,
4f5bfd1e-403b-e911-a971-000d3a51ce98,a5Uw5n9LCfA5eFx7A2LhtWjjAWnVf11KxxWmwSH7y3pgIzgx7JhJoew0qlSr6zYXs0Gg6R0ubSzEctdNBDo5ww==,2020/10/27 6:43,S0047,Microsoft Power BI ハンズオントレーニング,非サブスクリプション,
515bfd1e-403b-e911-a971-000d3a51ce98,CJtv6O1tIXJaqsRE71mGSs+gUNz0cqaHS1O56n8PlVQ8p3PQc26P4YfMVGdUQHj1BpzUNoceG6DFAoXBUrrjKA==,2020/10/27 6:43,S0048,Microsoft Power BI 活用ワークショップ,非サブスクリプション,
535bfd1e-403b-e911-a971-000d3a51ce98,dgqJt/w7L4j+ILiOB2s89kISkYLMOEprQJFHT7R9cfVncl0Jas9Bs4/oVC7mb89QcW5Vnr7Z6oJ9zldwu/u20A==,2020/10/27 6:43,S0049,Microsoft Surface Hub  活用トレーニング,非サブスクリプション,
555bfd1e-403b-e911-a971-000d3a51ce98,4hAW9PpdQnVebREJFbUpmG4E0wG1/+dpKEzFavEDa5NslfQtWOh737Iy1g8kkAJ01iNRMl/3hYqa+31X7htJ5Q==,2020/10/27 6:43,S0050,Office 365 ProPlus 導入サービス,非サブスクリプション,
575bfd1e-403b-e911-a971-000d3a51ce98,bgytn2hiCJF5sEkhDDqeb5LCh7zLe6pgHqNyysSz698R4Ui8owNnxV8kBscFoLc8OFxII+LzTbJz9gD9nOLBlg==,2020/10/27 6:43,S0051,Office 365 運用代行サービス,サブスクリプション,
5d5bfd1e-403b-e911-a971-000d3a51ce98,dF/78bfF0LvYWmOGO3Ma//ntggkNAqiGC6Aek74iVfbQ39ha7bnAC1q5glA8MsS4iAnD7aVkFsATOfmGOvAdqw==,2020/10/27 6:43,S0054,SAP on Azure 移行サービス,非サブスクリプション,
5f5bfd1e-403b-e911-a971-000d3a51ce98,DlGB7AQu990YIMXWnjg5PMCRDkkofer4lf5KvZJ03IKHzbUTEh8hbmj3n/QiNIdWBK354/kues8NWDHI2zJcmw==,2020/10/27 6:43,S0055,SAP システムベーシスソリューション,非サブスクリプション,
615bfd1e-403b-e911-a971-000d3a51ce98,fntao/GJdBdEK4g1FJssndmfgrltmdMRCQotHDuWPtU6BuJiE8AIKVygT712LOmvKgthgxi54YIi75tST9pLcA==,2020/10/27 6:43,S0056,Service Resale 【Colt】ネットワークサービス,サブスクリプション,
635bfd1e-403b-e911-a971-000d3a51ce98,o3dtdPrYn1zayUNxhboa6Efq+86LtYjzGdq5g2+xRC5xX5TTt6X8KEaN4fZ2DK1o6pPYV7IyqQSKkTVYiL44hw==,2020/10/27 6:43,S0057,Service Resale 【HPE】フレキシブルキャパシティ,サブスクリプション,
655bfd1e-403b-e911-a971-000d3a51ce98,qtoumN9yXTWGwEfyaG9HQvI87TrYVHgteMRtRhVpZDKWZPu0iTDbZtTbSCar3BS2ybbM7NBuvuVYPfWnS70BMg==,2020/10/27 6:43,S0058,Service Resale 【IIJ】回線サービス,サブスクリプション,
675bfd1e-403b-e911-a971-000d3a51ce98,dhKpaEHbyuxtWtU4dIteBdVd2VPY5y30YPdRLgGPfCTtZkBVtw8tmXAVauqaoK9+4MyCYtXn24vDSLH8iAiWyg==,2020/10/27 6:43,S0059,Service Resale 【SoftBank】回線サービス,サブスクリプション,
